id,name,class,mass (g),mass (kg),fall,year,latitude,longitude,GeoLocation
16988,Nogata,L6,472,0.472,Fell,860,33.725,130.75,"(33.725, 130.75)"
7823,Elbogen,"Iron, IID",107000,107,Fell,1399,50.18333,12.73333,"(50.18333, 12.73333)"
22614,Rivolta de Bassi,Stone-uncl,103.3,0.1033,Fell,1490,45.48333,9.51667,"(45.48333, 9.51667)"
10039,Ensisheim,LL6,127000,127,Fell,1491,47.86667,7.35,"(47.86667, 7.35)"
5247,Campo del Cielo,"Iron, IAB-MG",50000000,50000,Found,1575,-27.46667,-60.58333,"(-27.46667, -60.58333)"
5295,Castrovillari,Stone-uncl,15000,15,Fell,1583,39.8,16.2,"(39.8, 16.2)"
16745,Morito,"Iron, IIIAB",10100000,10100,Found,1600,27.05,-105.43333,"(27.05, -105.43333)"
12069,Jalandhar,Iron,1967,1.967,Fell,1621,31,75,"(31.0, 75.0)"
23732,Stretchleigh,Stone-uncl,10400,10.4,Fell,1623,50.38333,-3.95,"(50.38333, -3.95)"
11855,Hatford,Stone-uncl,29000,29,Fell,1628,51.65,-1.51667,"(51.65, -1.51667)"
16692,Minamino,L,1040,1.04,Fell,1632,35.07833,136.93333,"(35.07833, 136.93333)"
16805,Mount Vaisi,Stone-uncl,17000,17,Fell,1637,44.08333,6.86667,"(44.08333, 6.86667)"
24143,Vago,H6,40,0.04,Fell,1668,45.41667,11.13333,"(45.41667, 11.13333)"
18033,Ortenau,Stone-uncl,4500,4.5,Fell,1671,48.5,8,"(48.5, 8.0)"
23187,Sasagase,H,695,0.695,Fell,1688,34.71667,137.78333,"(34.71667, 137.78333)"
23457,Schellin,L,7000,7,Fell,1715,53.35,15.05,"(53.35, 15.05)"
23615,Siratik,"Iron, IIAB",1700,1.7,Found,1716,14,-11,"(14.0, -11.0)"
18849,Ploschkovitz,L5,39,0.039,Fell,1723,50.53333,14.11667,"(50.53333, 14.11667)"
23722,Steinbach,"Iron, IVA-an",98000,98,Found,1724,50.5,12.5,"(50.5, 12.5)"
22396,Rasgrad,Stone-uncl,24700,24.7,Fell,1740,43.5,26.53333,"(43.5, 26.53333)"
17994,Ogi,H6,14360,14.36,Fell,1741,33.28333,130.2,"(33.28333, 130.2)"
12356,Krasnojarsk,"Pallasite, PMG-an",700000,700,Found,1749,54.9,91.8,"(54.9, 91.8)"
11916,Hraschina,"Iron, IID",49000,49,Fell,1751,46.1,16.33333,"(46.1, 16.33333)"
23776,Tabor,H5,7540,7.54,Fell,1753,49.4,14.65,"(49.4, 14.65)"
14757,Luponnas,H3-5,14000,14,Fell,1753,46.21667,5,"(46.21667, 5.0)"
453,Albareto,L/LL4,2000,2,Fell,1766,44.65,11.01667,"(44.65, 11.01667)"
14724,Lucé,L6,3500,3.5,Fell,1768,47.85,0.48333,"(47.85, 0.48333)"
15446,Mauerkirchen,L6,19000,19,Fell,1768,48.18333,13.13333,"(48.18333, 13.13333)"
23495,Sena,H4,4000,4,Fell,1773,41.71667,-0.05,"(41.71667, -0.05)"
22642,Rodach,Stone-uncl,2900,2.9,Fell,1775,50.35,10.8,"(50.35, 10.8)"
24018,Toluca,"Iron, IAB-sLL",3000000,3000,Found,1776,19.56667,-99.56667,"(19.56667, -99.56667)"
14695,Longchang,"Iron, IVA-an",158500,158.5,Found,1781,29.3,105.3,"(29.3, 105.3)"
23587,Sierra Blanca,"Iron, IAB?",405,0.405,Found,1784,27.15,-104.9,"(27.15, -104.9)"
5015,Bendegó,"Iron, IC",5360000,5360,Found,1784,-10.11667,-39.2,"(-10.11667, -39.2)"
7775,Eichstädt,H5,3000,3,Fell,1785,48.9,11.21667,"(48.9, 11.21667)"
12291,Kharkov,L6,1500,1.5,Fell,1787,50.625,35.075,"(50.625, 35.075)"
4942,Barbotan,H5,6400,6.4,Fell,1790,43.95,-0.05,"(43.95, -0.05)"
30381,Zacatecas (1792),"Iron, ungrouped",1000000,1000,Found,1792,22.81667,-102.56667,"(22.81667, -102.56667)"
5261,Cape of Good Hope,"Iron, IVB",136000,136,Found,1793,-33.5,26,"(-33.5, 26.0)"
23586,Siena,LL5,3700,3.7,Fell,1794,43.11667,11.6,"(43.11667, 11.6)"
16851,Mulletiwu,L,25.5,0.0255,Fell,1795,9.33333,80.83333,"(9.33333, 80.83333)"
24325,Wold Cottage,L6,25000,25,Fell,1795,54.13667,-0.41333,"(54.13667, -0.41333)"
5063,Bjelaja Zerkov,H6,1850,1.85,Fell,1796,49.78333,30.16667,"(49.78333, 30.16667)"
18876,Portugal,Stone-uncl,4500,4.5,Fell,1796,38.5,-8,"(38.5, -8.0)"
18884,Prambanan,"Iron, ungrouped",500000,500,Found,1797,-7.56667,110.83333,"(-7.56667, 110.83333)"
5011,Benares (a),LL4,3700,3.7,Fell,1798,25.36667,82.91667,"(25.36667, 82.91667)"
23111,Salles,L5,9000,9,Fell,1798,46.05,4.63333,"(46.05, 4.63333)"
15447,Mauritius,L6,220,0.22,Fell,1801,-20,57,"(-20.0, 57.0)"
15443,Mässing,Howardite,1600,1.6,Fell,1803,48.13333,12.61667,"(48.13333, 12.61667)"
2320,Apt,L6,3200,3.2,Fell,1803,43.86667,5.38333,"(43.86667, 5.38333)"
12434,L'Aigle,L6,37000,37,Fell,1803,48.76667,0.63333,"(48.76667, 0.63333)"
5093,Bocas,L6,56,0.056,Fell,1804,23,-102,"(23.0, -102.0)"
6603,Darmstadt,H5,100,0.1,Fell,1804,49.86667,8.65,"(49.86667, 8.65)"
11884,High Possil,L6,4500,4.5,Fell,1804,55.9,-4.23333,"(55.9, -4.23333)"
16705,Misteca,"Iron, ungrouped",10000,10,Found,1804,16.8,-97.1,"(16.8, -97.1)"
5326,Charcas,"Iron, IIIAB",1400000,1400,Found,1804,23.08333,-101.01667,"(23.08333, -101.01667)"
2345,Asco,H6,41,0.041,Fell,1805,42.45,9.03333,"(42.45, 9.03333)"
